instnm,Professors (S2020_SIS  All full-time instructional staff),Associate professors (S2020_SIS  All full-time instructional staff),Assistant professors (S2020_SIS  All full-time instructional staff),Intructors (S2020_SIS  All full-time instructional staff),Lecturers (S2020_SIS  All full-time instructional staff),State abbreviation (HD2020),Level of institution (HD2020),Control of institution (HD2020),Historically Black College or University (HD2020),Tribal college (HD2020),Degree of urbanization (Urban-centric locale) (HD2020),Institution size category (HD2020),Percent admitted - total (DRVADM2020),Percent admitted - men (DRVADM2020),Percent admitted - women (DRVADM2020),Admissions yield - total (DRVADM2020),Admissions yield - men (DRVADM2020),Admissions yield - women (DRVADM2020),Percent of undergraduate enrollment 18-24 (DRVEF2020),Percent of undergraduate enrollment  25-64 (DRVEF2020),Percent of total enrollment that are American Indian or Alaska Native (DRVEF2020),Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander (DRVEF2020),Percent of total enrollment that are Asian (DRVEF2020),Percent of total enrollment that are Native Hawaiian or Other Pacific Islander (DRVEF2020),Percent of total enrollment that are Black or African American (DRVEF2020),Percent of total enrollment that are Hispanic/Latino (DRVEF2020),Percent of total enrollment that are White (DRVEF2020),Percent of total enrollment that are Race/ethnicity unknown (DRVEF2020),Percent of total enrollment that are Nonresident Alien (DRVEF2020),Percent of total enrollment that are two or more races (DRVEF2020),Percent of students enrolled exclusively in distance education courses (DRVEF2020),Percent of students enrolled in some but not all distance education courses (DRVEF2020),Percent of students not enrolled in any distance education courses (DRVEF2020),Percent of first-time undergraduates - in-state (DRVEF2020),Percent of first-time undergraduates - out-of-state (DRVEF2020),Percent of first-time undergraduates - foreign countries (DRVEF2020),Full-time retention rate  2020 (EF2020D),Part-time retention rate  2020 (EF2020D),Number of students receiving a Doctor's degree (DRVC2020),Number of students receiving a Master's degree (DRVC2020),Number of students receiving a Bachelor's degree (DRVC2020),Number of students receiving an Associate's degree (DRVC2020),Graduation rate  men (DRVGR2020),Graduation rate  women (DRVGR2020),Graduation rate - Bachelor degree within 4 years  total (DRVGR2020),Graduation rate - Bachelor degree within 5 years  total (DRVGR2020),Graduation rate - Bachelor degree within 6 years  total (DRVGR2020),Transfer-out rate  total cohort (DRVGR2020),Graduation rate  total cohort (DRVGR2020),Instructional FTE (DRVHR2020),Research FTE (DRVHR2020),Public Service FTE (DRVHR2020),Instructional  research and public service FTE (DRVHR2020),Librarians  Curators  and Archivists FTE (DRVHR2020),Student and Academic Affairs and Other Education Services FTE (DRVHR2020),Management FTE (DRVHR2020),Business and Financial Operations FTE (DRVHR2020),Computer  Engineering  and Science FTE (DRVHR2020),Community Service  Legal  Arts  and Media FTE (DRVHR2020),Healthcare FTE (DRVHR2020),Service  sales  office/admin support  natural resources  construction  maintenance  production  transportation & materials moving FTE (DRVHR2020),Service FTE (DRVHR2020),Sales and Related FTE (DRVHR2020),Office and Administrative Support FTE (DRVHR2020),Natural Resources  Construction  and Maintenance FTE (DRVHR2020),Production  Transportation  and Material Moving FTE (DRVHR2020),Physical books as a percent of the total library collection (DRVAL2020),Physical media as a percent of the total library collection (DRVAL2020),Digital/Electronic books as a percent of the total library collection (DRVAL2020),Digital/Electronic media as a percent of the total library collection (DRVAL2020),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2020),Percent of first-time degree/certificate-seeking students submitting ACT scores (ADM2020),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2020),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2020),SAT Math 25th percentile score (ADM2020),SAT Math 75th percentile score (ADM2020),ACT Composite 25th percentile score (ADM2020),ACT Composite 75th percentile score (ADM2020),ACT English 25th percentile score (ADM2020),ACT English 75th percentile score (ADM2020),ACT Math 25th percentile score (ADM2020),ACT Math 75th percentile score (ADM2020)
Cameron University,34,28,29,37,0,OK,1,1,2,2,13,2,,,,,,,58,32,6,2,2,0,12,14,48,4,2,11,24,56,20,91,9,0,67,39,0,94,457,228,23,24,17,29,34,30,23,157,0,0,157,4,35,39,9,27,37,1,114,23,3,63,22,3,24,2,53,11,,,,,,,,,,,,
Campbell University,42,105,86,24,1,NC,1,2,2,2,31,3,81,81,81,17,19,15,74,25,0,4,4,0,14,8,62,6,2,4,11,6,83,77,20,2,76,23,445,256,922,49,50,59,41,53,54,37,56,355,0,0,355,26,54,87,65,44,153,24,206,73,3,106,18,6,12,1,65,10,64,62,510,610,500,600,19,25,17,24,18,25
Campbellsville University,42,57,66,51,0,KY,1,2,2,2,32,4,78,79,76,17,19,16,41,10,0,2,2,0,6,3,42,2,46,1,14,59,28,79,14,7,64,33,0,3271,423,51,31,43,29,35,37,,36,352,0,0,352,5,108,8,47,10,86,13,152,28,0,80,26,18,11,0,51,33,,,,,,,,,,,,
Canisius College,51,50,29,0,4,NY,1,2,2,2,11,2,76,78,75,16,17,15,93,3,0,3,2,0,8,6,72,4,4,2,11,74,16,85,12,3,82,100,0,437,508,1,67,71,64,69,69,23,69,196,0,0,196,3,54,21,12,18,44,6,108,48,2,45,13,0,17,1,51,6,92,28,520,620,520,620,21,27,,,,
Capella University,0,0,0,0,0,MN,1,3,2,2,11,5,,,,,,,,,0,3,3,0,26,10,45,12,1,3,100,0,0,0,100,0,45,36,1389,5763,3775,0,0,0,0,0,0,,0,562,0,0,562,8,0,92,124,3,304,0,11,0,0,11,0,0,0,0,64,16,,,,,,,,,,,,
Capital University,59,28,24,42,0,OH,1,2,2,2,21,2,74,66,80,17,18,17,91,8,0,3,2,0,9,4,75,1,2,6,10,12,77,94,6,0,75,,115,107,562,0,52,67,53,60,60,,60,217,0,0,217,7,31,48,18,18,45,0,78,14,0,46,18,0,56,1,19,5,,,,,,,,,,,,
Capitol Technology University,4,1,1,0,0,MD,1,2,2,2,21,1,84,84,85,27,29,23,,,0,7,6,1,28,8,41,10,2,3,61,35,4,75,19,6,80,,41,39,90,1,44,67,25,42,46,,48,30,0,0,30,1,10,7,3,5,1,0,35,6,0,29,0,0,56,2,35,0,,,,,,,,,,,,
Cardinal Stritch University,7,20,33,0,0,WI,1,2,2,2,21,2,77,71,80,14,17,12,,,0,2,2,0,13,11,41,18,12,2,30,37,32,78,14,8,70,100,25,298,251,0,45,58,35,46,50,27,53,117,0,0,117,3,13,40,11,6,14,1,35,11,0,24,0,0,29,1,51,0,30,70,505,565,470,535,17,23,17,23,16,21
Career Networks Institute,0,0,0,16,0,CA,1,3,2,2,11,1,,,,,,,,,2,34,31,3,6,32,21,2,1,2,0,84,16,100,0,0,100,,0,0,3,116,58,56,,,,,57,33,0,0,33,0,0,4,0,0,0,0,36,3,12,20,1,0,0,0,77,2,,,,,,,,,,,,
Careers Unlimited,,,,,,UT,1,3,2,2,13,1,,,,,,,,,1,3,3,0,0,5,91,0,0,0,0,0,100,,,,,,0,0,119,0,,,,,,,,10,0,0,10,0,0,2,1,0,0,0,3,0,0,3,0,0,18,7,0,0,,,,,,,,,,,,
Carleton College,97,52,54,1,12,MN,1,2,2,2,32,2,21,21,21,31,32,30,98,0,0,10,10,0,6,9,56,2,10,8,0,0,100,19,72,7,94,,0,0,534,0,93,95,88,93,94,,94,245,0,0,245,22,39,65,44,40,34,5,175,78,0,75,20,2,36,8,43,3,52,59,660,750,670,770,30,34,32,35,27,34
Carlow University,28,24,40,17,0,PA,1,2,2,2,11,2,94,89,96,34,33,35,72,28,0,3,3,0,15,2,73,3,0,3,39,54,8,91,9,0,85,0,20,251,317,0,52,59,43,58,58,,58,165,0,0,165,3,14,54,13,13,15,3,66,33,0,27,5,1,11,0,81,7,92,28,500,580,480,560,19,24,19,23,17,23
Carnegie Mellon University,417,282,256,0,0,PA,1,2,2,2,11,4,17,13,23,36,39,34,96,1,0,21,21,0,3,6,23,6,37,3,0,3,97,9,73,19,96,,327,3233,1465,0,93,93,80,91,93,,93,1407,130,0,1537,51,46,573,756,1229,335,46,756,124,6,502,104,20,28,2,48,14,76,35,700,760,760,800,33,35,33,36,33,35
Carolina College of Biblical Studies,,,,,,NC,1,2,2,2,12,1,,,,,,,,,3,1,1,0,60,6,30,0,0,0,46,17,37,100,0,0,,,0,0,18,32,100,50,,,,,67,10,0,0,10,1,5,1,1,0,0,0,2,0,0,2,0,0,88,5,6,0,,,,,,,,,,,,
Carolina University,20,0,8,0,1,NC,1,2,2,2,12,1,50,52,48,33,38,27,68,31,0,2,2,0,20,11,51,12,2,3,76,24,0,60,33,0,49,0,17,54,65,6,40,55,28,40,40,35,46,45,0,0,45,2,12,13,3,5,20,1,12,7,1,4,0,0,0,0,93,7,,,,,,,,,,,,
Carolinas College of Health Sciences,0,0,0,0,0,NC,1,1,2,2,11,1,32,22,34,83,100,81,,,0,3,3,0,16,5,69,1,0,7,35,22,44,87,13,0,,,0,0,10,128,0,100,,,,,50,33,0,0,33,0,7,12,2,1,2,0,5,0,0,5,0,0,76,1,4,0,87,13,470,570,490,540,,,,,,
Carroll College,18,39,18,4,0,MT,1,2,2,2,33,2,73,71,74,26,25,26,,,0,1,1,0,0,5,80,8,1,4,1,54,44,40,59,0,84,100,0,11,288,1,63,70,49,65,67,,67,94,0,0,94,2,12,35,19,10,24,3,33,20,0,9,2,2,7,0,72,8,45,61,550,650,540,640,22,27,21,27,20,26
Carroll University,18,39,42,0,43,WI,1,2,2,2,13,2,72,64,77,24,20,26,,,0,4,4,0,2,8,78,4,1,3,1,39,61,72,27,1,82,,77,127,543,0,66,72,61,69,70,,70,230,0,0,230,8,15,60,27,19,64,6,93,35,0,45,10,3,24,1,62,13,20,85,530,610,520,623,21,26,20,26,19,26
Carson-Newman University,31,38,42,4,0,TN,1,2,2,2,23,2,79,78,80,16,22,13,90,4,1,1,1,0,8,4,79,2,3,2,30,29,41,74,22,4,69,0,56,257,429,21,46,56,45,51,52,37,52,154,0,0,154,6,4,12,27,14,62,10,83,15,0,49,19,0,17,1,60,13,19,99,480,560,470,570,19,25,16,25,17,24
Carthage College,43,52,54,1,2,WI,1,2,2,2,22,2,77,77,76,13,17,11,,,0,2,2,0,6,14,69,4,1,4,8,70,22,36,64,0,79,40,0,32,612,0,54,70,55,61,62,,62,196,0,0,196,4,5,45,23,15,57,1,56,24,0,29,3,0,8,0,24,21,44,67,500,610,500,620,20,27,20,28,18,26
Casa Loma College-Van Nuys,0,0,0,8,0,CA,1,2,2,2,11,1,,,,,,,21,79,1,12,12,1,7,41,35,0,1,2,4,96,0,80,0,0,80,,0,0,0,106,14,48,,,,,37,12,0,0,12,1,0,3,3,1,0,0,13,1,0,12,0,0,0,0,0,0,,,,,,,,,,,,
Cascadia College,0,0,0,0,0,WA,1,1,2,2,21,2,,,,,,,55,17,0,14,13,0,3,11,51,7,5,9,94,5,1,99,1,0,,,0,0,5,512,36,38,,,,24,37,80,0,0,80,0,5,27,7,11,20,0,27,0,0,27,0,0,5,0,74,8,,,,,,,,,,,,
Case Western Reserve University,465,287,240,105,85,OH,1,2,2,2,11,4,30,30,31,15,15,14,96,1,0,18,18,0,6,7,44,3,18,4,4,5,91,19,63,18,93,,690,1744,1141,0,83,88,67,83,85,,85,1291,519,0,1810,64,172,205,447,532,204,135,753,326,0,350,69,8,40,2,54,1,69,49,640,730,700,790,31,34,29,34,31,34
Castleton University,33,28,18,0,0,VT,1,1,2,2,32,2,88,86,90,17,18,17,85,11,0,1,1,0,4,3,84,4,2,2,16,31,53,43,54,3,61,0,0,52,420,4,51,62,46,55,56,29,57,121,0,0,121,3,18,37,4,4,24,1,76,38,0,38,0,0,27,1,54,9,62,11,470,580,470,560,16,22,14,22,16,22
Catawba College,16,23,34,2,0,NC,1,2,2,2,22,2,52,51,53,22,26,18,84,13,0,1,1,0,20,8,57,3,5,5,13,58,29,65,31,0,72,,0,0,272,0,52,59,49,53,56,10,56,88,0,0,88,3,9,13,8,12,57,11,61,24,0,29,8,0,23,0,48,8,47,45,470,570,470,570,17,22,15,21,17,23
Catholic Distance University,0,0,0,0,0,WV,1,2,2,2,31,1,,,,,,,,,0,3,3,0,3,14,68,11,0,0,100,0,0,0,100,0,,100,0,17,12,3,,,,,,,,14,0,0,14,0,9,1,1,2,0,0,2,0,0,2,0,0,19,0,72,0,,,,,,,,,,,,
Cazenovia College,21,15,9,12,0,NY,1,2,2,2,31,1,72,65,75,9,9,10,83,17,0,1,1,0,11,10,70,5,0,3,5,0,95,89,11,0,65,,0,0,177,0,54,59,44,50,50,,58,57,0,0,57,2,11,21,5,9,19,3,84,64,0,14,6,0,15,1,62,0,29,4,452,566,441,550,15,22,,,,
CBD College,0,0,0,24,0,CA,1,2,2,2,11,1,,,,,,,27,73,0,21,20,2,9,35,19,16,0,0,6,94,0,91,9,0,,,0,0,0,250,85,73,,,,,77,31,0,0,31,1,21,18,0,0,0,0,9,0,0,9,0,0,0,0,39,19,,,,,,,,,,,,
Cedar Crest College,21,16,24,14,0,PA,1,2,2,2,12,2,52,4,70,19,26,19,73,27,0,3,3,0,8,12,62,9,4,2,14,43,43,73,27,0,80,,0,89,306,0,100,62,55,59,61,,62,112,0,0,112,3,8,37,1,7,22,0,69,19,0,45,5,0,13,1,67,15,92,14,490,600,480,570,18,24,16,23,16,24
Cedarville University,66,81,74,6,0,OH,1,2,2,2,31,2,59,66,55,31,34,29,87,1,0,3,3,0,2,0,88,1,2,3,14,27,59,39,57,3,88,100,47,80,701,0,73,75,64,73,74,,74,263,0,0,263,16,8,39,38,23,71,9,136,28,15,70,18,5,41,3,46,2,49,71,570,680,540,670,23,30,23,33,22,28
Centenary College of Louisiana,16,10,27,1,0,LA,1,2,2,2,12,1,64,59,67,28,31,26,97,1,1,3,3,0,17,10,64,1,1,4,0,0,100,62,37,1,76,,0,15,86,0,53,57,49,55,56,,56,62,0,0,62,4,3,26,1,4,37,0,21,4,0,17,0,0,18,3,26,5,22,81,490,600,490,590,22,28,21,29,19,26
Centenary University,11,19,34,2,0,NJ,1,2,2,2,21,2,93,91,94,19,22,17,,,0,1,1,0,7,14,63,11,1,2,25,72,3,85,14,1,73,60,4,167,352,11,59,64,50,58,59,3,62,107,1,0,108,0,7,26,8,1,38,3,37,9,0,17,11,0,4,0,48,10,67,6,455,560,440,540,15,22,12,23,15,18
Centra College,0,0,0,0,0,VA,1,2,2,2,13,1,82,100,78,44,50,43,,,0,0,0,0,3,0,39,58,0,0,4,0,96,100,0,0,,,0,0,20,89,,,,,,,,34,0,0,34,0,1,3,3,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,
Central Baptist College,8,6,12,1,0,AR,1,2,2,2,13,1,50,49,52,46,42,53,73,20,1,1,1,0,13,10,68,2,3,3,5,62,33,66,32,2,57,,0,0,187,12,35,44,32,37,44,38,38,52,0,0,52,2,8,16,4,2,10,0,18,10,0,6,0,2,9,0,91,0,14,87,425,565,455,535,18,22,16,23,16,22
Central Christian College of Kansas,0,0,0,0,0,KS,1,2,2,2,33,1,,,,,,,,,1,2,1,1,15,18,58,2,1,3,48,2,50,23,74,3,64,100,0,0,126,30,25,21,14,18,22,,23,30,0,0,30,2,9,11,1,1,14,1,16,4,1,11,0,0,36,2,41,0,,,,,,,,,,,,
Central Christian College of the Bible,15,0,0,0,0,MO,1,2,2,2,32,1,,,,,,,,,2,2,2,0,11,4,70,5,3,3,30,20,50,61,39,0,57,,0,0,38,8,27,44,30,36,36,,37,19,0,0,19,5,3,11,3,1,5,0,14,3,3,8,0,0,7,0,92,0,,,,,,,,,,,,
Central College,32,33,21,0,13,IA,1,2,2,2,32,2,64,62,65,22,22,22,97,1,0,2,2,0,3,5,85,2,0,3,0,0,100,74,26,0,73,,0,0,252,0,66,69,63,66,68,30,68,106,0,0,106,2,7,33,26,10,54,3,117,83,2,24,5,3,56,2,6,0,11,87,490,588,503,585,19,25,17,25,18,25
Central Connecticut State University,200,136,90,2,0,CT,1,1,2,2,21,4,65,68,62,24,27,21,80,17,0,5,5,0,12,16,60,3,1,3,84,14,2,92,7,1,78,56,30,554,1872,0,47,57,27,46,52,28,52,585,0,0,585,20,107,50,51,39,44,9,240,73,0,133,24,10,55,2,26,2,98,3,490,580,480,570,19,25,17,23,17,24
Central Methodist University-College of Graduate and Extended Studies,0,5,9,0,0,MO,1,2,2,2,32,2,100,100,100,67,33,100,29,37,0,1,1,0,4,4,86,3,0,2,50,9,41,75,25,0,67,,0,96,626,9,,,,,,,,59,0,0,59,0,10,6,6,0,12,0,8,0,0,8,0,0,22,1,51,9,,,,,,,,,,,,
Central Methodist University-College of Liberal Arts and Sciences,21,25,32,1,0,MO,1,2,2,2,32,2,95,95,95,29,27,32,96,4,0,1,1,0,11,10,66,1,5,4,0,0,100,65,29,5,70,33,0,0,263,8,36,53,36,42,44,42,44,87,0,0,87,6,7,17,10,12,43,1,60,29,0,25,6,0,22,1,51,9,15,77,470,540,470,540,18,23,16,23,16,23
Central Michigan University,322,147,92,1,145,MI,1,1,2,2,32,4,69,67,70,16,15,16,88,12,1,2,2,0,11,5,73,2,3,4,21,21,58,91,8,1,80,48,241,1550,3761,0,58,68,33,59,64,,64,795,7,0,802,32,37,146,196,172,275,39,554,146,4,297,79,28,35,2,47,7,94,19,500,610,500,600,20,26,20,26,18,26
Central Penn College,3,10,11,9,0,PA,1,3,2,2,21,1,83,88,80,34,41,30,41,58,1,2,2,0,15,16,56,7,0,3,58,28,15,90,10,0,50,48,0,14,177,121,44,49,42,42,42,,47,48,0,0,48,2,17,25,6,5,18,0,14,6,0,5,3,0,10,1,76,14,,,,,,,,,,,,
Central State University,21,37,42,3,0,OH,1,1,1,2,41,2,58,52,61,8,9,7,,,1,2,2,0,52,13,27,2,3,1,63,34,4,48,47,4,56,0,0,0,232,0,20,35,14,25,28,33,28,131,12,0,143,5,38,55,36,9,28,1,91,32,0,58,1,0,49,0,31,6,,,,,,,,,,,,
Central Washington University,79,75,82,15,90,WA,1,1,2,2,32,4,86,85,87,15,18,13,81,19,1,6,5,1,4,18,51,10,3,9,64,33,3,93,7,0,70,46,0,304,2500,0,54,62,34,54,58,,58,467,4,3,474,17,2,110,128,92,104,18,420,143,2,212,63,0,39,8,36,9,69,15,470,580,460,570,17,24,15,23,16,24
Central Wyoming College,24,9,7,15,0,WY,1,1,2,2,33,2,,,,,,,,,9,2,1,0,1,12,62,10,0,3,21,31,48,76,23,0,,,0,0,0,197,29,38,,,,16,33,69,0,0,69,2,28,28,3,11,25,1,63,32,0,26,5,0,3,0,97,0,,,,,,,,,,,,
Central Yeshiva Beth Joseph,,,,,,NY,1,2,2,2,11,1,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,100,,,,,,0,0,4,1,,,,,,,,6,0,0,6,0,0,1,1,0,0,0,2,1,0,1,0,0,100,0,0,0,,,,,,,,,,,,
Central Yeshiva Tomchei Tmimim Lubavitz,0,0,0,17,0,NY,1,2,2,2,11,1,95,95,,80,80,,,,0,0,0,0,0,0,88,0,12,0,0,0,100,35,33,30,65,,0,25,113,19,16,,0,6,16,54,16,20,0,0,20,0,0,4,2,0,0,0,10,9,0,1,0,0,100,0,0,0,,,,,,,,,,,,
Centralia College,0,0,0,0,0,WA,1,1,2,2,32,2,,,,,,,43,35,1,2,1,0,2,14,64,10,0,7,32,34,34,97,3,0,,,0,0,68,404,41,42,,,,13,42,78,0,0,78,4,4,49,10,7,23,0,74,23,1,46,4,0,10,1,40,0,,,,,,,,,,,,
Centre College,34,43,49,5,0,KY,1,2,2,2,32,2,72,68,76,23,24,22,99,0,0,5,5,0,5,7,72,2,5,4,0,0,100,61,37,2,89,,0,0,354,0,81,85,82,83,83,,83,135,0,0,135,7,13,42,17,12,74,6,105,56,0,33,14,2,30,1,34,0,16,84,560,660,540,680,26,32,26,34,25,29
Centura College-Chesapeake,0,0,0,0,0,VA,1,3,2,2,21,1,,,,,,,,,1,2,2,0,65,6,13,0,0,13,0,0,100,90,10,0,,,0,0,4,31,100,56,,,,,64,8,0,0,8,0,0,7,0,0,0,0,10,0,0,10,0,0,0,0,80,1,,,,,,,,,,,,
Centura College-Virginia Beach,0,0,0,0,0,VA,1,3,2,2,11,1,,,,,,,,,1,3,2,1,57,8,17,2,0,12,0,0,100,100,0,0,,,0,0,5,34,50,86,,,,,78,8,0,0,8,0,0,5,0,0,0,0,9,0,0,9,0,0,1,0,80,1,,,,,,,,,,,,
Chadron State College,38,13,28,6,1,NE,1,1,2,2,33,2,,,,,,,76,19,1,1,1,0,4,9,79,0,2,4,46,32,23,51,49,1,69,22,0,183,377,0,37,46,24,39,42,40,42,102,0,0,102,3,48,19,10,9,31,1,73,24,0,20,26,3,18,0,59,0,,,,,,,,,,,,
Chamberlain University-Arizona,,,,,,AZ,1,3,2,2,11,1,63,67,60,80,50,100,45,55,1,10,10,0,5,25,54,0,0,4,1,52,48,100,0,0,80,,0,0,223,0,,50,50,50,50,50,50,34,0,0,34,0,27,3,7,1,0,0,3,0,0,3,0,0,0,0,63,21,,,,,,,,,,,,
Chamberlain University-California,,,,,,CA,1,3,2,2,13,1,17,0,20,100,,100,50,50,1,21,19,2,3,14,52,1,0,8,1,54,45,100,0,0,,100,0,0,91,0,,,,,,,,11,0,0,11,0,9,1,2,0,0,0,1,0,0,1,0,0,0,0,63,21,,,,,,,,,,,,
Chamberlain University-Florida,,,,,,FL,1,3,2,2,11,2,100,100,100,38,33,38,32,68,0,6,6,1,40,27,23,1,0,3,1,65,34,89,11,0,0,0,0,0,274,0,,0,0,0,0,,0,56,0,0,56,0,44,5,11,1,0,0,5,0,0,5,0,0,0,0,63,21,,,,,,,,,,,,
Chamberlain University-Georgia,,,,,,GA,1,3,2,2,12,2,35,,38,50,,50,31,69,0,5,5,0,60,8,23,0,1,3,1,55,44,100,0,0,100,,0,0,321,0,,33,33,33,33,33,33,45,0,0,45,0,36,4,9,1,0,0,4,0,0,4,0,0,0,0,63,21,,,,,,,,,,,,
Chamberlain University-Illinois,,,,,,IL,1,3,2,2,21,5,92,100,91,48,50,48,13,87,0,8,7,0,17,13,54,7,0,2,90,5,4,100,0,0,60,67,365,3703,7886,0,50,58,50,57,57,36,57,395,0,0,395,2,311,33,79,9,0,0,35,0,0,35,0,0,0,0,63,21,,,,,,,,,,,,
Chamberlain University-Indiana,,,,,,IN,1,3,2,2,11,1,53,50,53,67,100,63,30,70,0,7,7,0,28,5,58,1,0,1,3,59,37,100,0,0,50,,0,0,55,0,,0,0,0,0,,0,11,0,0,11,0,9,1,2,0,0,0,1,0,0,1,0,0,0,0,63,21,,,,,,,,,,,,
Chamberlain University-Louisiana,,,,,,LA,1,3,2,2,21,1,91,100,90,70,0,78,35,62,1,3,3,0,48,12,32,0,0,3,1,47,52,100,0,0,50,,0,0,0,0,,,,,,,,11,0,0,11,0,9,1,2,0,0,0,1,0,0,1,0,0,0,0,63,21,,,,,,,,,,,,
Chamberlain University-Michigan,,,,,,MI,1,3,2,2,13,1,100,,100,100,,100,43,57,0,8,7,0,18,5,64,2,0,3,3,79,19,100,0,0,,,0,0,84,0,,,,,,,,23,0,0,23,0,18,2,5,1,0,0,2,0,0,2,0,0,0,0,63,21,,,,,,,,,,,,
Chamberlain University-Missouri,,,,,,MO,1,3,2,2,21,1,74,100,72,64,0,69,43,57,0,3,3,0,18,5,68,3,0,3,1,58,40,100,0,0,50,100,0,0,154,0,,0,0,0,0,100,0,23,0,0,23,0,18,2,5,1,0,0,2,0,0,2,0,0,0,0,63,21,,,,,,,,,,,,
Chamberlain University-Nevada,,,,,,NV,1,3,2,2,11,1,83,0,100,80,,80,35,65,0,27,25,2,9,25,31,1,0,7,1,67,33,100,0,0,75,0,0,0,82,0,,,,,,,,23,0,0,23,0,18,2,5,1,0,0,2,0,0,2,0,0,0,0,63,21,,,,,,,,,,,,
Chamberlain University-New Jersey,,,,,,NJ,1,3,2,2,21,2,100,100,100,76,100,75,33,67,0,10,9,0,38,19,31,1,0,2,1,63,36,100,0,0,100,,0,0,189,0,,,,,,,,45,0,0,45,0,36,4,9,1,0,0,4,0,0,4,0,0,0,0,63,21,,,,,,,,,,,,
Chamberlain University-North Carolina,,,,,,NC,1,3,2,2,11,1,33,,33,0,,0,33,67,0,8,8,0,43,10,36,1,0,2,2,59,39,,,,0,,0,0,51,0,,,,,,,,11,0,0,11,0,9,1,2,0,0,0,1,0,0,1,0,0,0,0,63,21,,,,,,,,,,,,
Chamberlain University-Ohio,,,,,,OH,1,3,2,2,11,1,68,100,67,43,0,45,38,61,0,5,5,0,30,5,59,0,0,1,3,65,31,100,0,0,64,29,0,0,139,0,67,45,40,40,40,36,50,45,0,0,45,0,36,4,9,1,0,0,4,0,0,4,0,0,0,0,63,21,,,,,,,,,,,,
Chamberlain University-Texas,,,,,,TX,1,3,2,2,11,2,86,100,85,40,50,39,39,61,1,18,17,0,38,23,17,1,1,2,4,59,37,100,0,0,60,33,0,0,203,0,,100,100,100,100,,100,79,0,0,79,0,62,7,16,2,0,0,7,0,0,7,0,0,0,0,63,21,,,,,,,,,,,,
Chamberlain University-Virginia,,,,,,VA,1,3,2,2,21,1,64,,64,43,,43,23,77,0,10,9,0,55,15,16,0,0,3,2,59,40,0,100,0,100,,0,0,158,0,100,0,50,50,50,50,50,23,0,0,23,0,18,2,5,1,0,0,2,0,0,2,0,0,0,0,63,21,,,,,,,,,,,,
Chaminade University of Honolulu,20,28,30,0,8,HI,1,2,2,2,11,2,89,88,89,18,24,16,,,1,45,28,17,4,6,14,21,1,9,23,38,39,41,58,0,81,20,9,170,336,42,56,61,43,57,58,,59,122,4,1,127,3,14,36,9,13,27,4,70,25,2,43,0,0,10,1,73,10,39,28,500,580,460,560,18,23,17,22,17,24
Champion Christian College,,,,,,AR,1,2,2,2,13,1,,,,,,,,,1,0,0,0,20,4,19,51,1,4,0,0,100,45,55,0,33,,0,0,7,7,,,,,,,,5,0,0,5,1,1,3,2,0,4,0,5,2,0,3,0,0,27,12,54,0,,,,,,,,,,,,
Champlain College,27,48,33,3,0,VT,1,2,2,2,13,2,85,87,84,15,19,12,,,0,4,4,0,7,9,69,7,0,3,54,0,46,23,76,1,79,67,0,360,837,60,61,75,57,64,66,,66,202,0,0,202,11,10,87,44,30,38,3,41,6,0,26,9,0,10,0,57,15,,,,,,,,,,,,
Chapman University,160,157,197,26,0,CA,1,2,2,2,12,3,58,57,59,19,20,19,94,3,0,17,16,0,2,17,47,5,5,7,7,69,24,63,33,4,85,75,345,444,1759,0,76,82,73,79,80,,80,754,6,0,760,44,68,148,121,157,148,13,283,50,0,192,27,14,32,21,25,13,68,42,590,670,580,680,25,30,25,33,24,29
Charles R Drew University of Medicine and Science,6,9,28,20,0,CA,1,2,2,2,21,1,25,25,25,30,29,30,43,56,0,23,22,1,33,22,8,8,1,4,36,64,0,83,13,0,73,50,0,223,13,24,0,,0,0,0,,0,143,46,4,193,5,40,34,32,13,17,2,66,22,0,44,0,0,16,5,17,19,,,,,,,,,,,,
Charleston School of Law,10,7,3,2,0,SC,1,3,2,2,12,1,,,,,,,,,2,1,1,0,8,6,79,3,0,1,0,0,100,,,,,,214,0,0,0,,,,,,,,33,0,0,33,6,2,19,3,3,0,0,10,3,0,7,0,0,2,0,92,0,,,,,,,,,,,,
Charleston Southern University,42,50,78,20,2,SC,1,2,2,2,12,2,54,55,53,23,25,22,,,0,2,2,0,18,5,60,10,2,2,22,65,13,80,19,1,70,100,0,187,566,0,37,50,30,42,44,44,44,258,0,0,258,9,38,26,10,6,31,12,74,6,25,34,9,0,18,4,64,0,73,56,500,600,490,570,19,24,19,24,17,24
Charlotte Christian College and Theological Seminary,,,,,,NC,1,2,2,2,11,1,,,,,,,,,0,1,1,0,94,2,4,0,0,0,84,13,3,,,,,,2,4,11,5,,,,,,,,14,0,0,14,1,1,1,1,0,0,0,4,0,0,4,0,0,94,2,4,0,,,,,,,,,,,,
