institution,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd
Bene's Career Academy,White,Asian,White
Benedict College,Black,Black,White
Benedictine College,White,White,White
Benedictine University,White,UnknownEthnicity,Black
Benjamin Franklin Institute of Technology,Black,Asian,White
Bennett Career Institute,White,Asian,White
Bennett College,Black,Asian,White
Bennington College,White,White,White
Bentley University,White,White,White
Berea College,White,Asian,White
Bergen Community College,White,Asian,White
Bergin University of Canine Studies,White,White,White
Berk Trade and Business School,White,Asian,White
Berkeley City College,White,Asian,White
Berkeley College-New York,UnknownEthnicity,Asian,White
Bethesda University,Asian,Asian,White
Berkeley College-Woodland Park,Hispanic,Hispanic,White
Berkeley School of Theology,White,Black,White
Berklee College of Music,White,White,White
Berkowits School of Electrolysis,White,Asian,White
Berks Career & Technology Center,White,Asian,White
Berkshire Community College,White,Asian,White
Berry College,White,White,White
Best Care College,White,Asian,White
Bet Medrash Gadol Ateret Torah,White,Asian,White
Beth Hamedrash Shaarei Yosher Institute,Asian,Asian,White
Beth Medrash Govoha,White,White,White
Beth Medrash Meor Yitzchok,White,Asian,White
Beth Medrash of Asbury Park,White,Asian,White
Bethany College,White,Asian,White
Bethany College,White,Asian,White
Bethany College,White,Asian,White
Bethany College,White,Asian,White
Bethany College,White,White,White
Bethany College,White,White,White
Bethany College,White,White,White
Bethany College,White,White,White
Bethany Global University,White,White,White
Bethany Lutheran College,White,Asian,White
Bethany Theological Seminary,White,White,White
Bethel College-North Newton,White,Asian,White
Bethel Seminary-San Diego,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethel University,White,White,White
Bethlehem College & Seminary,White,White,White
Bethune-Cookman University,Black,Black,White
Beulah Heights University,Black,Black,Asian
Beverly Hills Design Institute,Asian,Asian,White
Bevill State Community College,White,Asian,White
Bexley Hall Seabury Western Theological Seminary Federation  Inc.,White,White,White
Beyond 21st Century Beauty Academy,White,Asian,White
Beyond Measure Barbering Institute,White,Asian,White
BFF Kidz Training,White,Asian,White
Big Bend Community College,White,Asian,White
Big Bend Technical College,White,Asian,White
Big Sandy Community and Technical College,White,Asian,White
Binghamton University,White,White,White
Biola University,White,White,White
Birmingham-Southern College,White,Asian,White
Birthingway College of Midwifery,White,Asian,White
Birthwise Midwifery School,White,Asian,White
Bishop State Community College,White,Asian,White
Bismarck State College,White,Asian,White
Bitterroot School of Cosmetology,White,Asian,White
BJ's Beauty & Barber College,White,Asian,White
BK Cosmo College of Cosmetology,White,Asian,White
Black Hawk College,White,Asian,White
Black Hills State University,White,White,White
Black River Technical College,White,Asian,White
Blackburn College,White,Asian,White
Blackfeet Community College,White,Asian,White
Blackhawk Technical College,White,Asian,White
Blackstone Valley Vocational Regional School District,White,Asian,White
Bladen Community College,White,Asian,White
Blades School of Hair Design,White,Asian,White
Blake Austin College,White,Asian,White
Blalock's Professional Beauty College,White,Asian,White
Blessing Hospital School of Medical Laboratory Technology,White,Asian,White
Blessing Hospital School of Radiologic Technology,White,Asian,White
Blessing Rieman College of Nursing and Health Sciences,White,White,White
Blinn College,White,Asian,White
Bloomfield College,Black,White,White
Bloomsburg University of Pennsylvania,White,White,White
Blue Cliff Career College,White,Asian,White
Blue Cliff College-Alexandria,White,Asian,White
Blue Cliff College-Fayetteville,White,Asian,White
Blue Cliff College-Gulfport,White,Asian,White
Blue Cliff College-Houma,White,Asian,White
Blue Cliff College-Lafayette,White,Asian,White
Blue Cliff College-Metairie,White,Asian,White
Blue Hills Regional Technical School,White,Asian,White
Blue Mountain College,White,White,White
Blue Mountain Community College,White,Asian,White
Blue Ridge Community and Technical College,White,Asian,White
Blue Ridge Community College,White,Asian,White
Blue Ridge Community College,White,Asian,White
Blue Ridge Community College,White,Asian,White
Blue Ridge Community College,White,Asian,White
Blue Ridge Community College,White,Asian,White
Blue Ridge Community College,White,Asian,White
Blue Ridge Community College,White,Asian,White
Blue Ridge Community College,White,Asian,White
Bluefield College,White,White,White
Bluefield State College,White,Asian,White
Bluegrass Community and Technical College,White,Asian,White
Bluffton University,White,White,White
Blush School of Makeup,White,Asian,White
Bnos Zion Of Bobov Seminary,White,Asian,White
Boise Bible College,White,Asian,White
Board of Trustees-Mississippi State Institutions of Higher Learning,White,Asian,White
Bob Jones University,White,White,White
Boca Beauty Academy,White,Asian,White
Boca Beauty Academy-Parkland,White,Asian,White
Boise Barber College,White,Asian,White
Boise State University,White,White,White
Bold Beauty Academy,White,Asian,White
Bolivar Technical College,White,Asian,White
Bon Secours Memorial College of Nursing,White,Asian,White
Bon Secours St Mary's Hospital School of Medical Imaging,White,Asian,White
Bonnie Joseph Academy of Cosmetology & Barbering,White,Asian,White
Boricua College,Hispanic,Hispanic,White
Borner's Barber College,White,Asian,White
Bos-Man's Barber College,White,Asian,White
Bossier Parish Community College,White,Asian,White
Boston Architectural College,White,White,White
Boston Baptist College,White,Asian,White
Boston College,White,White,White
Boston Graduate School of Psychoanalysis Inc,White,White,White
Boston University,White,White,White
Bowdoin College,White,Asian,White
Bowie State University,Black,Black,Black
Bowling Green State University-Firelands,White,Asian,White
Bowling Green State University-Main Campus,White,White,White
Bradford School,White,Asian,White
Bradley University,White,White,White
Brand College,White,Asian,White
Brandeis University,White,White,White
Brandman University,White,White,White
Branford Academy of Hair and Cosmetology,White,Asian,White
Brazosport College,White,Asian,White
Branford Hall Career Institute-Amityville,White,Asian,White
Branford Hall Career Institute-Branford Campus,White,Asian,White
Branford Hall Career Institute-Jersey City,White,Asian,White
Branford Hall Career Institute-Parsippany,White,Asian,White
Branford Hall Career Institute-Southington Campus,White,Asian,White
Brenau University,White,White,White
Brescia University,White,White,White
Brevard College,White,Asian,White
Brewster Technical College,White,Asian,White
Brewton-Parker College,White,Asian,White
Briar Cliff University,White,White,White
Bridgerland Technical College,White,Asian,White
Bridges Beauty College,White,Asian,White
BridgeValley Community & Technical College,White,Asian,White
Bridgewater College,White,White,White
Bridgewater State University,White,White,White
Brigham Young University-Hawaii,White,Asian,White
Brigham Young University-Idaho,White,Asian,White
Brigham Young University,White,White,White
Brighton Center's Center for Employment Training,White,Asian,White
Brighton Institute of Cosmetology,White,Asian,White
Brillare Beauty Institute,White,Asian,White
Bristol Community College,White,Asian,White
Bristol School of Hair Design,White,Asian,White
Bristol Technical Education Center,White,Asian,White
Brite Divinity School,White,White,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Brittany Beauty Academy,White,Asian,White
Broadview University-West Jordan,Asian,Asian,White
Broken Arrow Beauty College,White,Asian,White
Brookdale Community College,White,Asian,White
Brookhaven College,White,Asian,White
Brookline College-Albuquerque,White,Asian,White
Brookline College-Phoenix,White,White,White
